Code	Area	Inner-Outer
E09000001	City of London	Inner London
E09000002	Barking and Dagenham	Outer London
E09000003	Barnet	Outer London
E09000004	Bexley	Outer London
E09000005	Brent	Outer London
E09000006	Bromley	Outer London
E09000007	Camden	Inner London
E09000008	Croydon	Outer London
E09000009	Ealing	Outer London
E09000010	Enfield	Outer London
E09000011	Greenwich	Outer London
E09000012	Hackney	Inner London
E09000013	Hammersmith and Fulham	Inner London
E09000014	Haringey	Inner London
E09000015	Harrow	Outer London
E09000016	Havering	Outer London
E09000017	Hillingdon	Outer London
E09000018	Hounslow	Outer London
E09000019	Islington	Inner London
E09000020	Kensington and Chelsea	Inner London
E09000021	Kingston upon Thames	Outer London
E09000022	Lambeth	Inner London
E09000023	Lewisham	Inner London
E09000024	Merton	Outer London
E09000025	Newham	Inner London
E09000026	Redbridge	Outer London
E09000027	Richmond upon Thames	Outer London
E09000028	Southwark	Inner London
E09000029	Sutton	Outer London
E09000030	Tower Hamlets	Inner London
E09000031	Waltham Forest	Outer London
E09000032	Wandsworth	Inner London
E09000033	City Of Westminster	Inner London
